SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,4.79,0.024,0.191,0.625,0.011,https://linkinghub.elsevier.com/retrieve/pii/003238619290736G,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,40.7,0.73,3.88,16.7,0.34,https://linkinghub.elsevier.com/retrieve/pii/003238619290736G,
*c1c(C)c(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c2c1C(C)(C)CC2,,,8.52,37.2,140.4,8.12,https://pubs.acs.org/doi/10.1021/jp050177l,
*c1c(C)c(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c2c1C(C)(C)CC2,,,10.3,43.9,161.1,10.3,https://pubs.acs.org/doi/10.1021/jp050177l,
*c1c(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c2c1C(C)(C)CC2,,,22,83.4,328.8,23.9,https://pubs.acs.org/doi/10.1021/jp050177l,
*c1c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c2c1C(C)(C)CC2,,,58.6,198.2,692.3,50.5,https://pubs.acs.org/doi/10.1021/jp050177l,
*c1ccc2c(c1)S(=O)(=O)c1cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc1-2,,,5.14,23.5,91,2.51,https://onlinelibrary.wiley.com/doi/10.1002/polb.1995.090331306,
*c1ccc2c(c1)S(=O)(=O)c1cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)ccc1-2,,,,,7.26,0.149,https://onlinelibrary.wiley.com/doi/10.1002/polb.1995.090331306,
*c1ccc2c(c1)S(=O)(=O)c1cc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)ccc1-2,,45.4,0.499,3.29,13.7,0.258,https://onlinelibrary.wiley.com/doi/10.1002/polb.1995.090331306,
*c1ccc(C(c2ccc(N3C(=O)c4ccc(C(=O)c5cccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)c5)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,23.1,,0.12,1.06,4.1,0.1,https://linkinghub.elsevier.com/retrieve/pii/S0376738802006026,
*c1ccc(C(c2ccc(N3C(=O)c4ccc(C(=O)c5cc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc(-c6ccccc6)c5)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,25,,0.18,1.2,5,0.16,https://linkinghub.elsevier.com/retrieve/pii/S0376738802006026,
*c1ccc(C(c2ccc(N3C(=O)c4ccc(C(=O)c5cc(CC(C)(C)C)cc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)c5)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,41.5,,0.64,3.8,15.6,0.4,https://linkinghub.elsevier.com/retrieve/pii/S0376738802006026,
*c1ccc(Oc2ccc(N3C(=O)c4cc(Oc5ccccc5)c(-c5cc6c(cc5Oc5ccccc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,0.83,3.59,30.1,0.85,https://linkinghub.elsevier.com/retrieve/pii/S0014305706003193,
*c1ccc(Cc2ccc(N3C(=O)c4cc(Oc5ccccc5)c(-c5cc6c(cc5Oc5ccccc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,0.73,3.36,29,0.85,https://linkinghub.elsevier.com/retrieve/pii/S0014305706003193,
*c1ccc(Oc2ccc(N3C(=O)c4cc(Oc5ccc(C)cc5)c(-c5cc6c(cc5Oc5ccc(C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,1.25,4.99,44,1.45,https://linkinghub.elsevier.com/retrieve/pii/S0014305706003193,
*c1ccc(Oc2ccc(N3C(=O)c4cc(Oc5ccc(C(C)(C)C)cc5)c(-c5cc6c(cc5Oc5ccc(C(C)(C)C)cc5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,2.95,11.3,85.6,3.16,https://linkinghub.elsevier.com/retrieve/pii/S0014305706003193,
*c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(CC(C)(C)c3cc4oc5cc7c(=O)n(*)c(=O)c7cc5oc4cc32)CC6(C)C)c(C)c1C,260,530,47,150,1100,77,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1cc(C(c2ccc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c2)(C(F)(F)F)C(F)(F)F)ccc1C,160,220,9,39,210,9,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1ccc(C(c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2)(C(F)(F)F)C(F)(F)F)cc1,190,360,23,85,520,27,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1ccc(-c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2C)c(C)c1,205,300,16,64,420,20,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1cccc2c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cccc12,190,350,19,77,510,27,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1c(C)cc(-c2cc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c3ccccc23)c2ccccc12,660,1600,160,545,3700,260,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,234,7.8,35.1,182,6.4,https://pubs.acs.org/doi/10.1021/ma402033z,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc21,,230,8.5,35.5,197,9.1,https://pubs.acs.org/doi/10.1021/ma402034z,
*c1ccc2c(c1)C1(c3ccccc3-2)c2ccccc2-c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc21,,501,28.6,111,614,41.1,https://pubs.acs.org/doi/10.1021/ma402034z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,531,27,107,580,24.9,https://pubs.acs.org/doi/10.1021/ma402034z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc21,,560,28.8,116,693,36.5,https://pubs.acs.org/doi/10.1021/ma402034z,
*c1cc2c(cc1Br)-c1ccccc1C21c2ccccc2-c2cc(Br)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc21,,919,69,243,1340,102,https://pubs.acs.org/doi/10.1021/ma402034z,
*c1ccc2c(c1)C1c3ccccc3C2c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,257,8.1,39,189,6.2,https://doi.org/10.1002/marc.201000690,
*c1ccc2c(c1)C1c3cc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc3C2c2cc3ccccc3cc21,204,281,9,43.3,210,7.1,https://doi.org/10.1016/j.memsci.2015.05.010,
*c1ccc(Oc2c3c(c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)c4c2C2c5ccccc5C4c4ccccc42)C2c4ccccc4C3c3ccccc32)cc1,,131,3.2,17,73,2.5,https://doi.org/10.1016/j.memsci.2015.01.043,
*c1ccc(Oc2c3c(c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4C)c4c2C2c5ccccc5C4c4ccccc42)C2c4ccccc4C3c3ccccc32)c(C)c1,,100,2.4,12,55,2,https://doi.org/10.1016/j.memsci.2015.01.043,
*c1ccc(Oc2c3c(c(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4C(F)(F)F)c4c2C2c5ccccc5C4c4ccccc42)C2c4ccccc4C3c3ccccc32)c(C(F)(F)F)c1,,188,7,30,132,5.5,https://doi.org/10.1016/j.memsci.2015.01.043,
*c1cc(C)c2c(c1)CN1c3c(C)cc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3CN21,199,253,6.5,28,155,3.3,https://doi.org/10.1021/mz500184z,
*c1cc(C)c2c(c1)CN1c3c(C)cc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3CN21,30.3,36.4,0.5,2.5,13.4,0.37,https://doi.org/10.1021/mz500184z,
*c1ccc2c(c1C)N1Cc3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3N1C2,223,390,12,47,285,8,https://doi.org/10.1021/mz500184z,
*c1ccc2c(c1C)N1Cc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)c(C)c3N1C2,119,159,3.8,16.2,106,2.2,https://doi.org/10.1021/mz500184z,
*CN1CN(*)Cc2c(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5cc(C)c(*)c(*)c5C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C)c21,,607,31,119,457,27,https://doi.org/10.1016/j.polymer.2016.04.068,
*CN1CN(*)Cc2c(C)c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5cc(C)c(*)c(*)c5C)C6=O)cc4C3=O)cc(C)c21,,134,2.5,14,55,2.1,https://doi.org/10.1016/j.polymer.2016.04.068,
*CN1CN(*)Cc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5ccc(*)c(*)c5C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c21,221,299,9.5,42,218,6.7,https://doi.org/10.1016/j.polymer.2016.04.068,
*CN1CN(*)Cc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(c5ccc(*)c(*)c5C)C6=O)cc4C3=O)c(C)c21,43.7,54,1.9,4.9,19.6,1.7,https://doi.org/10.1016/j.memsci.2015.12.057,
*c1c(C)c2c(c(C)c1Br)CN1c3c(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(Br)c(C)c3CN21,,380,19,70,361,16,https://doi.org/10.1021/acs.macromol.6b00354,
*c1c(C)cc(C)c2c1CN1c3c(C)cc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3CN21,,582,34,123,595,31,https://doi.org/10.1021/acs.macromol.6b00354,
*c1c(C)cc2c(c1C)CN1c3cc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3CN21,,1446,133,408,1672,116,https://doi.org/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1c3cc(C)c(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)c(C)c3CN21,,3300,290,1080,4460,390,https://doi.org/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1c3cc(C)c(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)c(C)c3CN21,,1531,99,394,1689,114,https://doi.org/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1c3cc(C)c(N4C(=O)c5cc6c(cc5C4=O)C4(CC(C)(C)c5cc7c(cc54)C(=O)N(*)C7=O)CC6(C)C)c(C)c3CN21,,3200,373,1132,5140,591,https://doi.org/10.1021/acs.macromol.6b00351,
*c1c(C)cc2c(c1C)CN1c3cc(C)c(N4C(=O)c5cc6c(cc5C4=O)C4(c5ccccc5-c5cc7c(cc54)C(=O)N(*)C7=O)c4ccccc4-6)c(C)c3CN21,,2901,264,941,4476,371,https://doi.org/10.1021/acs.macromol.6b00351,
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)N(*)C6=O)CC5(C)C)c3ccccc23)c2ccccc12,,840,94,295,2180,170,https://pubs.acs.org/doi/10.1021/acsmacrolett.5b00009,
*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)N(*)C5=O)CC4(C)C)c(C)c1C,,670,84,270,2154,168,https://pubs.acs.org/doi/10.1021/acsmacrolett.5b00009,
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)CCC5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,,4230,369,1380,7340,457,https://pubs.acs.org/doi/10.1021/acsmacrolett.5b00009,
*c1c(C)cc(-c2cc(C)c(N3C(=*)c4cc5c(cc4C3=O)C3(c4ccccc4-c4cc6c(cc43)C(=O)N(*)C6=O)c3ccccc3-5)c3ccccc23)c2ccccc12,,2966,226,850,4700,326,https://pubs.acs.org/doi/10.1021/acsmacrolett.5b00009,
*c1c(C)c(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2c3ccccc3C6c3cc4oc5cc6c(=O)n(*)c(=O)c6cc5oc4cc32)c(C)c1C,1771,3983,107,627,2389,105,https://doi.org/10.1021/ma5009226,
*c1c(C)cc(-c2cc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)n(*)c(=O)c7cc6oc5cc43)c(C)c2)cc1C,1026,2368,98,490,2071,101,https://doi.org/10.1021/ma5009226,
*c1c(C)cc(C)c(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)c3ccccc3C6(C(C)C)c3cc4oc5cc6c(=O)n(*)c(=O)c6cc5oc4cc32)c1C,862,1625,43,238,916,43,https://doi.org/10.1021/ma5009226,
*c1ccc(Oc2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)n(*)c(=O)c7cc6oc5cc43)cc2)cc1,176,302,10.6,48,286,10.7,https://doi.org/10.1021/ma5009226,
*c1ccc(C(c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)n(*)c(=O)c7cc6oc5cc43)cc2)(C(F)(F)F)C(F)(F)F)cc1,816,1558,87,356,1552,77,https://doi.org/10.1021/ma5009226,
*c1ccc(C(c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)n(*)c(=O)c7cc6oc5cc43)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,278,409,14.4,64.8,322,11,https://doi.org/10.1021/ma5009226,
*c1c(C)cc(-c2cc(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc5oc6cc7c(=O)n(*)c(=O)c7cc6oc5cc43)c3ccccc23)c2ccccc12,1371,3198,225,842,4391,354,https://doi.org/10.1021/ma5009226,
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,1182,3050,182,783,3700,216,https://doi.org/10.1016/j.polymer.2016.08.075,
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,913,2233,160,594,3154,211,https://doi.org/10.1016/j.polymer.2016.08.075,
*c1cc(C(c2ccc(O)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,67.85,42.75,0.55,3.73,16.95,0.21,http://link.springer.com/10.1007/BF03218559,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,62.21,35.21,0.36,2.58,9.87,0.08,http://link.springer.com/10.1007/BF03218559,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,23.57,14.26,0.09,0.72,2.74,0.03,http://link.springer.com/10.1007/BF03218559,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,19.75,11.13,0.08,0.6,1.43,0.02,http://link.springer.com/10.1007/BF03218559,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,23.45,13.36,0.06,0.54,1.81,0.02,http://link.springer.com/10.1007/BF03218559,
*c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc21,,259,10.8,45.2,263,9.1,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1cc2c(cc1O)C1(CC2(C)C)CC(C)(C)c2cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(O)cc21,,190,6.9,30.5,198,7.7,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1ccc(C(c2ccc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc2)(C(F)(F)F)C(F)(F)F)cc1,,360,23,85,520,27,https://pubs.acs.org/doi/10.1021/ma901430q,
*c1cc2c(cc1O)-c1ccccc1C21c2ccccc2-c2cc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc21,,162,3.8,19.3,100,2.4,http://xlink.rsc.org/?DOI=C4PY01221F,
*c1cc2c(cc1O)-c1ccccc1C21c2ccccc2-c2cc(O)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)cc21,,519,24,98,568,29,http://xlink.rsc.org/?DOI=C4PY01221F,
*c1cc(-n2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)C2(C(C)C)c3ccccc3C6(C(C)C)c3cc4oc5cc6c(=O)n(*)c(=O)c6cc5oc4cc32)c(O)cc1O,216,330,5.4,32,215,4.65,https://doi.org/10.1016/j.polymer.2016.03.063,
*c1cc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C3c4ccccc4C5c4cc5c(cc43)C(=O)N(*)C5=O)c(O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,92,94,1.5,8.5,40,0.73,https://doi.org/10.1016/j.memsci.2016.07.058,
*c1ccc(C(c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,2647,4194,284,1092,4201,151,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(C(c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,356,408,19,81,398,12,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(C(c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1656,3612,431,1306,5568,252,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(C(c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1775,3585,350,1354,5903,260,https://pubs.acs.org/doi/10.1021/ma101549z,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,46,35,0.35,2.3,10,0.16,https://linkinghub.elsevier.com/retrieve/pii/S037673881300728X,
*c1cccc(C(c2cccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,200,260,10,45,240,7.7,https://linkinghub.elsevier.com/retrieve/pii/S037673881300728X,
*c1cc(-c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)ccc1O,57,46,0.41,2.8,12,0.18,https://linkinghub.elsevier.com/retrieve/pii/S037673881300728X,
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6oc(*)nc6c5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,350,570,34,130,720,31,https://linkinghub.elsevier.com/retrieve/pii/S037673881300728X,
*c1ccc(C(c2ccc(-c3nc4cc(Oc5ccc(C(c6ccc(Oc7ccc8oc(*)nc8c7)cc6)(C(F)(F)F)C(F)(F)F)cc5)ccc4o3)cc2)(C(F)(F)F)C(F)(F)F)cc1,42.1,29.1,0.46,1.9,8.6,0.13,https://doi.org/10.1021/ma102878z,
*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,22.1,0.24,1.54,5.76,0.13,https://doi.org/10.1016/j.memsci.2011.09.023,
*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,94.6,2.28,11.1,44.7,1.56,https://doi.org/10.1016/j.memsci.2011.09.023,
*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,149,4.42,19.9,84.2,3.48,https://doi.org/10.1016/j.memsci.2011.09.023,
*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,223,10.1,35.2,183,8.53,https://doi.org/10.1016/j.memsci.2011.09.023,
*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(-c4ccc(C(*)=O)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,526,30.3,105,532,28.9,https://doi.org/10.1016/j.memsci.2011.09.023,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,11,0.1,0.64,2.9,0.06,https://doi.org/10.1039/C3TA10261K,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,55,0.62,3.9,17,0.26,https://doi.org/10.1039/C3TA10261K,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,115,2.7,13,58,1.5,https://doi.org/10.1039/C3TA10261K,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,155,4.5,21,95,3.03,https://doi.org/10.1039/C3TA10261K,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,13,0.11,0.76,2.9,0.09,https://doi.org/10.1039/C3TA10261K,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,30,0.43,2.6,11,0.31,https://doi.org/10.1039/C3TA10261K,
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc(C(c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,,34,0.54,3.1,13,0.39,https://doi.org/10.1039/C3TA10261K,
*c1cc2c(cc1O)C1(c3ccccc3-2)c2ccccc2-c2cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)cc21,,162,3.8,19.3,100,2.4,https://doi.org/10.1016/j.memsci.2013.01.011,
